IUPAC Name;Common Name;Abbreviation;Category;Inchi;SMILES;Function;Work_Voltage (V);Reference;HOMO_Pred (eV);LUMO_Pred (eV);DN_Pred (kcal/mol);DC_Pred
ethyl 2,2-difluoroacetate;Ethyl difluoroacetate;EDFA;Other Esters;InChI=1S/C4H6F2O2/c1-2-8-4(7)3(5)6/h3H,2H2,1H3;CCOC(=O)C(F)F;WSE;4.5;Nature 614.7949 (2023): 694-700(DOI:10.1038/s41586-022-05627-8);-10.946844;1.478899;9.278356;13.553095
dimethoxymethane;Dimethoxymethane;DMM;Ethers;InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3;COCOC;WSE;3.7;Angew. Chem. Int. Ed. 2022, 61, e202207927(DOI:10.1002/ange.202207927);-10.011013;1.712619;18.570390;4.208518
1,2-dimethoxyethane;1,2-Dimethoxy ethane(monoglyme);DME(C2,EGDME);Ethers;InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3;COCCOC;CDE;4.4;J. Am. Chem. Soc. 2021, 143, 44, 18703?18713(DOI:10.1021/jacs.1c09006);-9.476183;1.741204;19.605161;7.307759
1,2-diethoxyethane;1,2-Diethoxyethane;DEE(EGDEE);Ethers;InChI=1S/C6H14O2/c1-3-7-5-6-8-4-2/h3-6H2,1-2H3;CCOCCOCC;WSE;4.4;J. Am. Chem. Soc. 2021, 143, 44, 18703?18713(DOI:10.1021/jacs.1c09006);-9.364771;1.805732;20.196754;5.596009
2-(2-ethoxyethoxy)-1,1,1-trifluoroethane;1-Ethoxy-2-(2,2,2-trifluoroethoxy)ethane;F3DEE(ETFEE);Ethers;InChI=1S/C6H11F3O2/c1-2-10-3-4-11-5-6(7,8)9/h2-5H2,1H3;CCOCCOCC(F)(F)F;WSE;4.4;Nat Energy 7, 94?106 (2022)(DOI:10.1038/s41560-021-00962-y);-9.674979;1.644841;14.178931;7.400789
2-methyloxolane;2-Methyl tetrahydrofurane;2-Me-THF(MTHF);Ethers;InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3;CC1CCCO1;WSE;<4;Adv. Funct. Mater. 2023, 33, 2212349(DOI:10.1002/adfm.202212349);-9.441218;1.794241;21.365088;6.039296
1,3-dioxolane;1,3-dioxolane;DOL(1,3-DL);Ethers;InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2;C1COCO1;WSE;3.5;ACS Energy Lett. 2023, 8, 7, 3180?3187(DOI:10.1021/acsenergylett.3c01004,WSE)!J. Am. Chem. Soc. 2025, 147, 7, 5962?5970(DOI:10.1021/jacs.4c16076,CDE);-9.714680;1.700719;18.545994;4.030608
4-methyl-1,3-dioxolane;4-Methyl-1,3-dioxolane;4Me-DOL;Ethers;InChI=1S/C4H8O2/c1-4-2-5-3-6-4/h4H,2-3H2,1H3;CC1COCO1;WSE;<3;ACS Energy Lett. 2023, 8, 7, 3180?3187(DOI:10.1021/acsenergylett.3c01004);-9.674871;1.708515;19.090066;4.362154
1-methoxy-2-(2-methoxyethoxy)ethane;Diglyme;DGM(G2,DIG,DGEME,DEGDME);Ethers;InChI=1S/C6H14O3/c1-7-3-5-9-6-4-8-2/h3-6H2,1-2H3;COCCOCCOC;CDE;;Nat Commun 14, 868 (2023)(DOI:10.1038/s41467-023-36647-1)!J. Phys. Chem. Lett. 2025, 16, 15, 3879?3887(DOI:10.1021/acs.jpclett.5c00627);-9.236472;1.665125;19.342444;6.283941
methoxycyclopentane;Cyclopentyl methyl ether;CPME;Ethers;InChI=1S/C6H12O/c1-7-6-4-2-3-5-6/h6H,2-5H2,1H3;COC1CCCC1;WSE;<5.5;Angew. Chem. Int. Ed. 2023, 62, e202300771(DOI:10.1002.anie.202300771)!ACS Nano 2023, 17, 18, 18103–18113(DOI:10.1021/acsnano.3c04907);-9.570445;1.836558;17.083233;4.556361
