IUPAC Name;Common Name;Abbreviation;Category;Inchi;SMILES;Function;Work_Voltage (V);Reference;HOMO_Pred (eV);LUMO_Pred (eV);DN_Pred (kcal/mol);DC_Pred
1,1,1-trifluoro-2-[2-[2-(2,2,2-trifluoroethoxy)ethoxy]ethoxy]ethane;Bis(2-(2,2,2-Trifluoroethoxy)ethyl)ether;E3F1;Ethers;InChI=1S/C8H12F6O3/c9-7(10,11)5-16-3-1-15-2-4-17-6-8(12,13)14/h1-6H2;C(COCC(F)(F)F)OCCOCC(F)(F)F;WSE;4.3;ACS Cent. Sci. 2021, 7, 7, 1232?1244(DOI:10.1021/acscentsci.1c00503);-9.906922;1.599993;9.884345;12.177875
1-fluoro-2-(2-fluoroethoxy)ethane;;BFE(E1CH2F);Ethers;InChI=1S/C4H8F2O/c5-1-3-7-4-2-6/h1-4H2;C(CF)OCCF;WSE;4.4;Nat Commun 14, 1081 (2023)(DOI:10.1038/s41467-023-36793-6);-10.033979;1.806511;15.689396;11.624684
1,2-bis(2-chloroethoxy)ethane;;Cl-DEE;Ethers;InChI=1S/C6H12Cl2O2/c7-1-3-9-5-6-10-4-2-8/h1-6H2;C(COCCCl)OCCCl;WSE;4.7;Angew. Chem. Int. Ed. 2022, 61, e202203693(DOI:10.1002/anie.202203693)!JACS Au 2023, 3, 3, 953?963(DOI:10.1021/jacsau.3c00035);-9.774481;1.475561;16.324588;25.508588
2-(2,2-difluoroethoxy)-1,1-difluoroethane;bis(2,2-difluoroethyl)ether;BDE;Ethers;InChI=1S/C4H6F4O/c5-3(6)1-9-2-4(7)8/h3-4H,1-2H2;C(C(F)F)OCC(F)F;Diluent;5.0;Nano Energy 95 (2022) 107014(DOI:10.1016/j.nanoen.2022.107014);-10.375647;1.711005;11.018857;5.236923
1,1,1-trifluoro-2-(2,2,2-trifluoroethoxymethoxy)ethane;;BTFM;Ethers;InChI=1S/C5H6F6O2/c6-4(7,8)1-12-3-13-2-5(9,10)11/h1-3H2;C(C(F)(F)F)OCOCC(F)(F)F;Diluent;5.5;Zhao et al., Chem 9, 682?697(DOI:10.1016/j.chempr.2022.12.005);-10.568108;1.569743;6.099877;16.583574
2,2,4,4,5,5-hexamethyl-1,3-dioxolane;2,2,4,4,5,5-hexamethyl-1,3-dioxolane;HMD;Ethers;InChI=1S/C9H18O2/c1-7(2)8(3,4)11-9(5,6)10-7/h1-6H3;CC1(C(OC(O1)(C)C)(C)C)C;WSE;<3;ACS Appl. Mater. Interfaces 2024, 16, 18, 23362?23373(DOI:10.1021/acsami.4c03149);-9.459009;1.548098;21.832089;3.981632
diethoxymethoxyethane;diethoxymethoxyethane;TOF;Ethers;InChI=1S/C7H16O3/c1-4-8-7(9-5-2)10-6-3/h7H,4-6H2,1-3H3;CCOC(OCC)OCC;CDE;;Angew. Chem. Int. Ed. 2022, 61, e202115884(DOI:10.1002/anie.202115884);-10.008218;1.761877;17.894559;11.723635
2-methoxy-1-(2-methoxypropoxy)propane;2-methoxy-1-(2-methoxypropoxy)propane;DMM-2;Ethers;InChI=1S/C8H18O3/c1-7(9-3)5-11-6-8(2)10-4/h7-8H,5-6H2,1-4H3;CC(COCC(C)OC)OC;WSE;4.2;Angew. Chem. Int. Ed. 2023, 62, e202312973(DOI:10.1002/ange.202312973);-9.263491;1.669654;20.094292;11.629189
2-methoxy-1,3-dioxolane;2-methoxy-1,3-dioxolane;2-MeO-DOL;Ethers;InChI=1S/C4H8O3/c1-5-4-6-2-3-7-4/h4H,2-3H2,1H3;COC1OCCO1;WSE;4.4;Chem. Sci., 2025, 16, 7981-7988(DOI:10.1039/D5SC01495F);-10.057464;1.631042;17.247458;5.436513
1H,1H,5H-octafluoropentyl-1,1,2,2-tetrafluoroethyl ether;;OFE(OTE);Ethers;InChI=1S/C7H4F12O/c8-2(9)5(14,15)7(18,19)4(12,13)1-20-6(16,17)3(10)11/h2-3H,1H2 ;C(C(C(C(C(F)F)(F)F)(F)F)(F)F)OC(C(F)F)(F)F;Diluent;<3;Adv. Energy Mater. 2019, 9, 1803774(DOI:10.1002/aenm.201803774);-11.816090;1.492267;-0.604827;13.64207
2,2-bis(trifluoromethyl)-1,3-dioxolane;;BTFMD;Ethers;InChI=1S/C5H4F6O2/c6-4(7,8)3(5(9,10)11)12-1-2-13-3/h1-2H2;C1COC(O1)(C(F)(F)F)C(F)(F)F;Diluent;6.0;ACS Energy Lett. 2024, 9, 5, 2201?2211(DOI:10.1021/acsenergylett.4c00481);-10.931075;1.560636;5.438306;25.134159
1,1,1,3,3,3-hexafluoro-2-(fluoromethoxy)propane;;HFP(HFME);Ethers;InChI=1S/C4H3F7O/c5-1-12-2(3(6,7)8)4(9,10)11/h2H,1H2;C(OC(C(F)(F)F)C(F)(F)F)F;Diluent;4.7;Small 2023, 19, 2305055(DOI:10.1002/smll.202305055);-11.740508;1.586540;1.664505;8.224244
