IUPAC Name;Common Name;Abbreviation;Category;Inchi;SMILES;Function;Work_Voltage (V);Reference;HOMO_Pred (eV);LUMO_Pred (eV);DN_Pred (kcal/mol);DC_Pred;SASA(O/N,max);Num(13O);Num(14O);Num(15O)
2,2,4,4,5,5-hexamethyl-1,3-dioxolane;2,2,4,4,5,5-hexamethyl-1,3-dioxolane;HMD;Ethers;InChI=1S/C9H18O2/c1-7(2)8(3,4)11-9(5,6)10-7/h1-6H3;CC1(C(OC(O1)(C)C)(C)C)C;WSE;<3;ACS Appl. Mater. Interfaces 2024, 16, 18, 23362?23373(DOI:10.1021/acsami.4c03149);-9.459009;1.548098;21.832089;3.981632;5.899607;0.000000;0.000000;0.000000
diethoxymethoxyethane;diethoxymethoxyethane;TOF;Ethers;InChI=1S/C7H16O3/c1-4-8-7(9-5-2)10-6-3/h7H,4-6H2,1-3H3;CCOC(OCC)OCC;CDE;;Angew. Chem. Int. Ed. 2022, 61, e202115884(DOI:10.1002/anie.202115884);-10.008218;1.761877;17.894559;11.723635;10.405164;2.656639;0.000000;0.000000
2-methoxy-1-(2-methoxypropoxy)propane;2-methoxy-1-(2-methoxypropoxy)propane;DMM-2;Ethers;InChI=1S/C8H18O3/c1-7(9-3)5-11-6-8(2)10-4/h7-8H,5-6H2,1-4H3;CC(COCC(C)OC)OC;WSE;4.2;Angew. Chem. Int. Ed. 2023, 62, e202312973(DOI:10.1002/ange.202312973);-9.263491;1.669654;20.094292;11.629189;16.878114;0.000000;1.001042;0.000000
2-methoxy-1,3-dioxolane;2-methoxy-1,3-dioxolane;2-MeO-DOL;Ethers;InChI=1S/C4H8O3/c1-5-4-6-2-3-7-4/h4H,2-3H2,1H3;COC1OCCO1;WSE;4.4;Chem. Sci., 2025, 16, 7981-7988(DOI:10.1039/D5SC01495F);-10.057464;1.631042;17.247458;5.436513;48.921296;0.000000;0.000000;0.000000
1,3-dimethoxypropane;1,3-dimethoxypropane;C3(DMP-2);Ethers;InChI=1S/C5H12O2/c1-6-4-3-5-7-2/h3-5H2,1-2H3;COCCCOC;WSE;4.7;Angew. Chem. Int. Ed. 2023, 62, e202219310(DOI:10.1002/anie.202219310);-9.517417;1.747117;19.820639;5.708996;17.580064;0.000000;0.000000;0.681384
propan-2-one;Acetone;DMK(ACE);Ketones;InChI=1S/C3H6O/c1-3(2)4/h1-2H3;CC(C)=O;CDE;;;-9.622644;1.714319;16.244265;13.673626;113.380014;0.000000;0.000000;0.000000
methyl acetate;Methyl acetate;MA;Other Esters;InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3;COC(C)=O;CDE;;;-10.522580;1.587123;13.598647;6.271678;86.830062;1.000000;0.000000;0.000000
ethyl acetate;Ethyl acetate;EA;Other Esters;InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3;CCOC(C)=O;CDE;;;-10.429927;1.628881;14.349532;6.56271;79.945553;1.000000;0.000000;0.000000
butyl acetate;n-Butyl acetate;nBA;Other Esters;InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3;CCCCOC(C)=O;CDE;;;-10.419670;1.615789;15.620225;7.029959;76.967660;0.678849;0.000000;0.000000
dimethyl carbonate;dimethyl carbonate;DMC;Linear Carbonates;InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3;COC(=O)OC;CDE;;;-11.033620;1.508001;11.075214;2.489575;57.800864;3.000000;0.000000;0.000000
4-ethyl-1,3-dioxolan-2-one;1,2-Butylene carbonate;BC;Cyclic Carbonates;InChI=1S/C5H8O3/c1-2-4-3-7-5(6)8-4/h4H,2-3H2,1H3;CCC1COC(=O)O1;CDE;;;-11.030425;1.526207;13.683073;63.742353;137.100299;0.000000;0.000000;0.000000
1,3-dioxol-2-one;Vinylene Carbonate;VC;Cyclic Carbonates;InChI=1S/C3H2O3/c4-3-5-1-2-6-3/h1-2H;O=c1occo1;CDE;;;-9.541302;1.444332;14.797579;128.941261;140.693576;0.000000;0.000000;0.000000
methyl butanoate;Methyl butyrate;MB;Other Esters;InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3;CCCC(=O)OC;CDE;;;-10.382964;1.621020;15.028309;6.320532;57.817844;1.000000;0.000000;0.000000
octanedinitrile;Suberonitrile;SUN;Nitriles;InChI=1S/C8H12N2/c9-7-5-3-1-2-4-6-8-10/h1-6H2;N#CCCCCCCC#N;CDE;;;-11.136727;1.673135;21.951079;11.556117;144.670487;0.000000;0.000000;0.000000
propyl acetate;n-Propyl acetate;nPA;Other Esters;InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3;CCCOC(C)=O;CDE;;;-10.412717;1.632246;15.007876;6.57657;79.412982;0.565784;0.000000;0.000000
2-methylpropyl acetate;i-Butyl acetate;iBA;Other Esters;InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3;CC(=O)OCC(C)C;CDE;;;-10.419332;1.615985;15.619887;6.466145;79.662480;0.405913;0.000000;0.000000
propyl formate;n-Propyl formate;nPF;Formates;InChI=1S/C4H8O2/c1-2-3-6-4-5/h4H,2-3H2,1H3;CCCOC=O;CDE;;;-10.682863;1.652143;14.225489;7.056716;99.080625;1.000000;0.000000;0.000000
propan-2-yl formate;i-Propyl formate;iPF;Formates;InChI=1S/C4H8O2/c1-4(2)6-3-5/h3-4H,1-2H3;CC(C)OC=O;CDE;;;-10.652624;1.671223;14.254554;7.215376;95.546915;1.000000;0.000000;0.000000
butyl formate;n-Butyl formate;nBF;Formates;InChI=1S/C5H10O2/c1-2-3-4-7-5-6/h5H,2-4H2,1H3;CCCCOC=O;CDE;;;-10.664475;1.673789;14.896539;6.91283;99.664056;1.000000;0.000000;0.000000
2-methylpropyl formate;i-Butyl formate;iBF;Formates;InChI=1S/C5H10O2/c1-5(2)3-7-4-6/h4-5H,3H2,1-2H3;CC(C)COC=O;CDE;;;-10.676631;1.632024;14.859662;6.928626;98.342966;0.865472;0.000000;0.000000
2-methylpropanenitrile;i-Butyronitrile (Isobutyronitrile);iBN;Nitriles;InChI=1S/C4H7N/c1-4(2)3-5/h4H,1-2H3;N#CC(C)C;CDE;;;-11.734783;1.801304;20.934146;29.009824;147.969684;0.000000;0.000000;0.000000
