IUPAC Name;Common Name;Abbreviation;Inchi;SMILES;SAScore;Reference
fluoromethyl methyl carbonate;monofluorinated dimethyl carbonate;MFDMC;InChI=1S/C3H5FO3/c1-6-3(5)7-2-4/h2H2,1H3;COC(=O)OCF;2.844;Electrochemistry 76.1 (2008): 2-15(DOI:10.5796/electrochemistry.76.2)
diethyl carbonate;diethyl carbonate;DEC;InChI=1S/C5H10O3/c1-3-7-5(6)8-4-2/h3-4H2,1-2H3;CCOC(=O)OCC;1.813;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
ethyl 2-fluoroethyl carbonate;ethyl fluoroethyl carbonate;EFEC(F2DEC);InChI=1S/C5H9FO3/c1-2-8-5(7)9-4-3-6/h2-4H2,1H3;CCOC(=O)OCCF;2.424;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2,2-difluoroethyl ethyl carbonate;ethyl difluoroethyl carbonate;EDFEC(DFDEC);InChI=1S/C5H8F2O3/c1-2-9-5(8)10-3-4(6)7/h4H,2-3H2,1H3;CCOC(=O)OCC(F)F;2.483;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
ethyl 2,2,2-trifluoroethyl carbonate;ethyl trifluoroethyl carbonate;ETFEC(TFDEC);InChI=1S/C5H7F3O3/c1-2-10-4(9)11-3-5(6,7)8/h2-3H2,1H3;CCOC(=O)OCC(F)(F)F;2.260;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
ethyl methyl carbonate;ethyl methyl carbonate;EMC;InChI=1S/C4H8O3/c1-3-7-4(5)6-2/h3H2,1-2H3;CCOC(=O)OC;1.927;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-fluoroethyl methyl carbonate;2-Fluoroethyl methyl carbonate;MFEMC(F1EMC);InChI=1S/C4H7FO3/c1-7-4(6)8-3-2-5/h2-3H2,1H3;COC(=O)OCCF;2.602;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2,2-difluoroethyl methyl carbonate;2,2-Difluoroethyl methyl carbonate;DFEMC(F2EMC);InChI=1S/C4H6F2O3/c1-8-4(7)9-2-3(5)6/h3H,2H2,1H3;COC(=O)OCC(F)F;2.647;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
methyl 2,2,2-trifluoroethyl carbonate;Methyl 2,2,2-trifluoroethyl carbonate;FEMC(TFEMC,MTFEC,F3EMC);InChI=1S/C4H5F3O3/c1-9-3(8)10-2-4(5,6)7/h2H2,1H3;COC(=O)OCC(F)(F)F;2.379;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
methyl propyl carbonate;methyl-propyl carbonate;MPC;InChI=1S/C5H10O3/c1-3-4-8-5(6)7-2/h3-4H2,1-2H3;CCCOC(=O)OC;2.024;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
3-fluoropropyl methyl carbonate;3-Fluoropropyl methyl carbonate;FPMC;InChI=1S/C5H9FO3/c1-8-5(7)9-4-2-3-6/h2-4H2,1H3;COC(=O)OCCCF;2.493;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-fluoropropyl methyl carbonate;2-Fluoropropyl methyl carbonate;2FPMC;InChI=1S/C5H9FO3/c1-4(6)3-9-5(7)8-2/h4H,3H2,1-2H3;COC(=O)OCC(C)F;3.103;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
methyl 3,3,3-trifluoropropyl carbonate;Carbonic acid methyl 3,3,3-trifluoropropyl ester;TrFPMC;InChI=1S/C5H7F3O3/c1-10-4(9)11-3-2-5(6,7)8/h2-3H2,1H3;COC(=O)OCCC(F)(F)F;2.424;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
methyl 2,2,3,3-tetrafluoropropyl carbonate;Methyl 2,2,3,3-tetrafluoropropyl carbonate;TeFPMC;InChI=1S/C5H6F4O3/c1-11-4(10)12-2-5(8,9)3(6)7/h3H,2H2,1H3;COC(=O)OCC(F)(F)C(F)F;2.786;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
methyl 2,2,3,3,3-pentafluoropropyl carbonate;Methyl 2,2,3,3,3-pentafluoropropyl carbonate;PFPMC;InChI=1S/C5H5F5O3/c1-12-3(11)13-2-4(6,7)5(8,9)10/h2H2,1H3;COC(=O)OCC(F)(F)C(F)(F)F;2.668;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
ethyl propyl carbonate;ethyl-propyl carbonate;EPC;InChI=1S/C6H12O3/c1-3-5-9-6(7)8-4-2/h3-5H2,1-2H3;CCCOC(=O)OCC;1.918;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
ethyl propan-2-yl carbonate;ethyl-isopropyl carbonate;EiPC;InChI=1S/C6H12O3/c1-4-8-6(7)9-5(2)3/h5H,4H2,1-3H3;CCOC(=O)OC(C)C;1.980;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
methyl propan-2-yl carbonate;methyl-isopropyl carbonate;MiPC;InChI=1S/C5H10O3/c1-4(2)8-5(6)7-3/h4H,1-3H3;COC(=O)OC(C)C;2.123;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1,3-dioxolan-2-one;ethylene carbonate;EC;InChI=1S/C3H4O3/c4-3-5-1-2-6-3/h1-2H2;O=C1OCCO1;2.786;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
4-fluoro-1,3-dioxolan-2-one;Fluoroethylene carbonate;FEC;InChI=1S/C3H3FO3/c4-2-1-6-3(5)7-2/h2H,1H2;O=C1OCC(F)O1;4.107;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
4-methyl-1,3-dioxolan-2-one;propylene carbonate;PC;InChI=1S/C4H6O3/c1-3-2-6-4(5)7-3/h3H,2H2,1H3;CC1COC(=O)O1;3.550;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
4-(fluoromethyl)-1,3-dioxolan-2-one;4-fluoromethyl-ethylene carbonate;FPC;InChI=1S/C4H5FO3/c5-1-3-2-7-4(6)8-3/h3H,1-2H2;O=C1OCC(CF)O1;3.800;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
4-ethyl-1,3-dioxolan-2-one;1,2-Butylene carbonate;BC;InChI=1S/C5H8O3/c1-2-4-3-7-5(6)8-4/h4H,2-3H2,1H3;CCC1COC(=O)O1;3.297;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
4-ethenyl-1,3-dioxolan-2-one;Vinyl ethylene carbonate;VEC;InChI=1S/C5H6O3/c1-2-4-3-7-5(6)8-4/h2,4H,1,3H2;C=CC1COC(=O)O1;4.153;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1,3-dioxol-2-one;Vinylene Carbonate;VC;InChI=1S/C3H2O3/c4-3-5-1-2-6-3/h1-2H;O=c1occo1;4.035;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
ethyl 2-fluoroacetate;Ethyl fluoroacetate;EFA;InChI=1S/C4H7FO2/c1-2-7-4(6)3-5/h2-3H2,1H3;CCOC(=O)CF;2.393;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
ethyl 2,2-difluoroacetate;Ethyl difluoroacetate;EDFA;InChI=1S/C4H6F2O2/c1-2-8-4(7)3(5)6/h3H,2H2,1H3;CCOC(=O)C(F)F;2.378;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-fluoroethyl acetate;2-Fluoroethyl acetate;2FEA;InChI=1S/C4H7FO2/c1-4(6)7-3-2-5/h2-3H2,1H3;CC(=O)OCCF;2.404;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
methyl 2-methoxyacetate;Methyl methoxyacetate;MMOA;InChI=1S/C4H8O3/c1-6-3-4(5)7-2/h3H2,1-2H3;COCC(=O)OC;1.863;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
methyl 2-cyanoacetate;Methyl cyanoacetate;MCA;InChI=1S/C4H5NO2/c1-7-4(6)2-3-5/h2H2,1H3;COC(=O)CC#N;2.658;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
